review,sentiment,label
"There are many, many older movies that deserve to be transferred to the DVD format. This is surely one of them. An Anthony Quinn triumph! Scores of movies portray the victims of Nazi atrocities before and during the war, but, I don't think any of them have delved into the psyche of the victim and predator as well as this this one has. Anthony Quinn was truly a man for all seasons. He had the ability to portray the humblest of creatures devoid of any human vises to a creature of extreme animalism and pull it off as believable to the audiences who watched with no afterthought of what they had just witnessed! Truly one of our greatest artists. He is missed.",positive,1
"/* slight spoilers */<br /><br />Way back, before Evangelion was made, before Hideaki Anno was an idol and household name for many anime fans, and before Gainax had reached the status of fanfavorite, Gunbuster was made. With only Wings of Honneamise made by Gainax at that time, and the famous Otakon shorts or course, Gunbuster had some tough acts to follow up. It didn't make it easier on itself by picking out a genre that was already done countless times before, space opera.<br /><br />Luckily, Gainax decided to put it out as a six-part OAV (direct to video) series. This allows the series to have a bigger scope than would have been possible if it was made into a film. This also prevents it from becoming too boring and overly long, with lots of pointless battles and filler along the way. Besides that, they made some effort to stay clear from the tested space opera mechanics used in Macross or Gundam, and many other popular space operas.<br /><br />For one, the shows starts out pretty light, with Noriko in the Okinawa High School for mechapiloting. Noriko is the daughter of a respected ship commander who died in battle, when she was still a little kid. This makes her life at the academy quite hard, as some of her fellow classmates start to suspect that Noriko is favored by the professors. The first episode is pretty much a comedy drama, with a very tight focus on the characters and setting of the school. Things quickly change when the threat of an alien invasion is announced, and Noriko and Kazumi (best girl in class) are chosen to help the assembled fleet out.<br /><br />The middle bulk of Gunbuster leaves our female lead in space, focusing on both personal drama and action. A couple more characters are introduced, and parts of Noriko's past are dragged up again. Besides that, the alien threat becomes more imminent every minute, and the Gunbuster, mankind's final hope, is presented. Smart as writer Okada was, he incorporated the principles of time dilation, to spice things up a bit. In short, time moves slower for those who travel at the speed of light. This means that Noriko can be part of a war that takes almost a century to complete. Also the dramatic aspect of this is accentuated, when Noriko sees her friends again on her return to base, who have aged considerably more than her. The science might not be perfect, but it's presented in a pretty believable way, with even some SD science theatre shorts in between the episodes, where Noriko, Kazumi and their coach give a short description of the scientific principles used in the series.<br /><br />The animation, for a series made in the 80s, is definitely good. The designs are retro 80s style of course, but it has it's charm. Animation is fluent enough and the character designs are nice, although the costumes do betray<br /><br />some of the fanservice fascination Gainax will later exploit to the fullest. The mechas throughout the shows are pretty cool too, with the Gunbuster as the ultimate killing machine, strong and vast. The last episode was entirely done in black and white. While it's generally believed (but not confirmed) that this was done for budget reasons, it lends a whole different atmosphere to the series, which is suited perfectly for the latter part.<br /><br />The music is very typical space opera fair. Too bombastic in places, very generic, and definitely not worth buying. It does fit the series for the most part, but it can become quite annoying at times. Tanaka is not really a famous composer, and the only other respectable series he's worked on is Dragon Half. If you think 80s anime music, you will know what to expect.<br /><br />As the series progresses, the focus slowly shifts from drama to space opera to epic battle, but in such a way the viewer will hardly notice this. Step by step the drama will be toned down, and the battles will take the front row. Neither aspect is ever left completely out though. With the last episode in sight, Noriko and crew are fighting for the further existence of human kind, and with the last battle in sight, certain questions are presented to the audience, concerning to position of the human race in the galaxy, and how far it can go to guarantee self-preservation. While they are never answered later on, they still present some interesting food for thought. The last episode is very epic, with a nice, but quite predictable ending, though not all endings should contain numerous outlandish twists of course. Again, it fits the series.<br /><br />Gunbuster may sound like your average space opera anime at first, with alien invasions, huge battles, and some personal drama, and for the bigger part, it is. But it is done exceptionally well for a change. Instead of going for a steady mix of former elements, six episodes long, Gunbuster presents us a change from small scale drama to large scale epic heroism. Along the way we meet with some various interesting and well fleshed-out characters, which mutual relationships changing heavily due to the time dilation phenomenon. The show is very tightly written, although it does tend to slip up at some points. Overly dramatic occurrences and too cheesy mecha attacks could have been easily avoided. Overall, the trip Gunbuster takes you on is a very relaxed, sometimes sad, sometimes heroic one. It might not have shattered the boundaries and limits of the space opera genre, but at least it bend them a little. Highly enjoyable anime classic, but not without flaws.<br /><br />***/*****",positive,1
"I loves this movie,because it showed that they were not killing for fun but to save the ones they loved! Heath Ledger and Orlando Bloom did a great job portraying Ned and Joe. It has a few quick inappropriate scenes but is all right other than that. The language is very mild and sometimes don't even know it is there. This movie shows that just because they are outlaws does not mean that they are vicious killers! I hope that people will watch this movie and learn about important times in history like this one. There is one thing that fascinates me about this movie is that they got their inspiration for their armor from a book Ned looked at! Also that that is how people remember them,from their armor. I hope that people will watch this movie and get interested as I have.",positive,1
"So it isn't an epic, but for people experiencing anything similar<br /><br />(sibling suicide) it might be an interesting way of therapy. An<br /><br />imaginative narrative and some fine acting makes it time well<br /><br />spent. For some reason, it hasn't really caught on in the audience,<br /><br />something I do believe is a result of the main theme. Why did she<br /><br />commit suicide? Clearly, this is hardly something that US<br /><br />moviegoers will flock to, had it been an European production it<br /><br />probably would have reached its audience in a much greater<br /><br />extent. It is however, a movie that although the realism tainted by a<br /><br />shimmering romanticized glow, gives the viewer a whole hearted<br /><br />impression.",positive,1
"In April 1947, New York City faced an epidemic crisis. Eugene LaBar, a rug importer arriving from Mexico, had arrived in the city, bringing with him the deadly smallpox virus. He stumbled off a bus, complaining of fever and a headache, and soon died in a Midtown Hospital, but not before he had infected a dozen passers-by. The damage was already done; for the first time in decades, smallpox stalked the streets of New York. The city's health authorities acted quickly to isolate sufferers and contain the virus, enacting a free vaccination campaign that saw over six million New Yorkers immunised against smallpox. Thanks to their swift response, the virus was contained with minimal casualties. The outbreak, nevertheless, must have left an indelible mark, for several years later it was followed by two similarly-themed film noir thrillers in which doctors must track down a single contagious carrier in a city of millions: Elia Kazan's 'Panic in the Streets (1950)' and Earl McEvoy's lower-budget 'The Killer That Stalked New York (1950).'<br /><br />McEvoy's film unfolds in an unglamorous docu-drama style. Reed Hadley's narration sounds as though it was plucked straight from a newsreel, reciting facts as if reading off the official police transcript. This technique does feel a little cheap at times, but fortunately the narration is largely restricted to the film's bookends, as well as providing some explanatory filler during breaks in the plot. The ""killer"" stalking New York, in this story, is not a rug importer from Mexico, but beautiful diamond smuggler Sheila Bennet (Evelyn Keyes), who has just arrived from Cuba. Within days, Sheila has two parties independently pursuing her: a treasury agent (Barry Kelley) looking to arrest her for smuggling crimes, and a team of doctors (led by William Bishop) who have identified her as the source of the smallpox outbreak. As in 'Panic in the Streets,' an otherwise routine manhunt is given a heightened sense of urgency, particularly when those in pursuit initially have no idea as to the identity or appearance of their suspect.<br /><br />'The Killer That Stalked New York,' for the most part, manages to sidestep its low production budget. Aside from a select few lines of dialogue (""we have to stop it!"" exclaims Dr. Wood at one point, as though coming to a difficult decision), the filmmakers and cast members allow the story to unfold in a realistic, engrossing fashion. Indeed, in this regard, the low budget quite possibly aids the film's intentions, necessitating a documentary style that adds to the immediacy of the outbreak scenario. Evelyn Keyes is excellent in the leading role, showing obstinate resilience in the face of unimaginable torment; by the film's end, she appears so brutally incapacitated by her illness that it's almost painful to look at her face. Aside from the virus, Charles Korvin is the main villain of the piece, as Sheila's greedy and adulterous husband who, rest assured, gets everything that's coming to him. And if all nurses looked like Dorothy Malone, perhaps catching smallpox wouldn't seem like such a bad break, after all.",positive,1
"This movie has a ""big production"" feel that I was not expecting from an independent film. The characters are each developed and dealt with in a way that not only helps to tell the story, but left me with a satisfied viewing experience.",positive,1
"After working on 7 movies with director Mickael Curtiz (The Adventures of Robin Hood are their best achievement), Errol Flynn got tired of his dictatorial direction and decided to work with the great Raoul Walsh. This reunion is a happy thing for cinematography. THE DIED WITH THEIR BOOTS ON is their first and best film together. Raoul Walsh portrays the General George Armstrong Custer (Errol Flynn) from his debuts at West Point, to the Civil War and finally at the battle of Little Big Horn. It's true the film shows a too heroic portrait of Custer, but that's not important. What is important, is the fact that we are transported with the passion and glory carried by the characters. Who can forget California Joe, the great ""Queen's Own Buttler"" with his song ""Garryowen"", the touching Mrs Custer (Olivia de Havilland), the diabolic Sharp well played by Arthur Kennedy ?<br /><br />An eternal blow remains on this epic and tragic freso.",positive,1
"***May Contain Spoilers*** OK, it wasn't exactly as good as expected in fact it was a lot different than I had thought it would be but it still turned out to be a pretty good movie.<br /><br />I usually don't care too much for that type of music but in this movie it worked perfectly (I mean duh he's a rock star) but anyway I loved Stuart Townsend in this, and Aaliyah, although she had a small part in the movie was amazing.<br /><br />And even though Tom Cruise played Lestat in the Interview with a Vampire, I have to admit that I am glad he turned down the role even though I normally hate when they use different people to play the same characters in like sequels and stuff.<br /><br />Overall, the movie was great and I enjoyed watching it, even if there were parts that could have been better. Great vampire movie.",positive,1
"I couldn't agree more with Nomad 7's and I A HVR's comments. A perfect laid back Sunday morning movie. The humor is subtle (exact opposite of ""slapstick"" as one misguided commenter noted).<br /><br />But what always ceases to amaze me is how often I find myself wanting to come back to this movie over and over. I originally copied this movie onto VHS about 12 years ago when it was premiered on one of those Pay Cable free weekend previews(HBO maybe?). Had never heard of it previously. Don't know why it wasn't marketed that well. ?? When DVD's were released en mass, it was one of the first movies I replaced. A great combination of cast and writing. Plus, the back drop of Montana wilderness doesn't hurt things either (beautiful).<br /><br />It's probably not the type of comedy for everyone, but what is? If Adam Sandler type stuff is up your alley, this probably won't be your cup of tea. This movie needs your full attention. The humor is mostly in the dialog.<br /><br />I believe my next viewing will probably be about my 12th. But I still know that when it gets to the scenes like the one where the hoods of the police cars start blowing off, I'm going to loose it (Ed O'Neill's face is PRICELESS!). Recommended 110%.",positive,1
"I saw True Crime when it was first released back in the mid-nineties and I have watched it many times since. It is a great mystery about Mary (played by Alicia Silverstone), a high school senior in a California town who's classmate's younger sister was tortured and killed by an unknown murderer. Mary meets Tony (played by Kevin Dillon), a police cadet who sees how bright she is and they decide to work together to try to find the killer.<br /><br />Many suspects in this one. True Crime feels very ""true"" or real to me. I read a newsgroup review where someone wrote that total suspension of disbelief is present here and it is so true. Alicia Silverstone is perfect in this role and Kevin Dillon and Bill Nunn do a great job, as do the other actors. The locations are right on and the writer/director, Pat Verducci, really captures some of the realities of teenage life and of Mary's loneliness (see the scene where Mary awakens from the dream sequence after having viewed the photos she took of Tony). I wish Verducci would make more movies.<br /><br />I have not seen any other movie quite like True Crime. 10/10",positive,1
